epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.45473,2.19735,0.24483,0.87913,2.15857,0.000327044,0.000327044,0.000327044
2,9.43569,2.02004,0.25723,0.88843,2.31616,0.00065384,0.00065384,0.00065384
3,14.4616,2.11005,0.2531,0.88326,5.5376,0.000974035,0.000974035,0.000974035
4,19.3781,2.09833,0.26033,0.91116,2.28101,0.0009703,0.0009703,0.0009703
5,24.2772,1.93759,0.28926,0.91942,1.77332,0.0009604,0.0009604,0.0009604
6,29.2756,1.89848,0.30269,0.91012,1.73877,0.0009505,0.0009505,0.0009505
7,34.2506,1.80249,0.2469,0.90496,2.10913,0.0009406,0.0009406,0.0009406
8,39.0704,1.72881,0.28926,0.92769,1.65454,0.0009307,0.0009307,0.0009307
9,44.0475,1.711,0.33161,0.92665,1.67432,0.0009208,0.0009208,0.0009208
10,49.2167,1.66835,0.3564,0.93079,1.61096,0.0009109,0.0009109,0.0009109
11,54.1295,1.634,0.33368,0.92562,1.63123,0.000901,0.000901,0.000901
12,58.936,1.62951,0.33471,0.92459,1.61865,0.0008911,0.0008911,0.0008911
13,63.8595,1.60756,0.36157,0.94731,1.66101,0.0008812,0.0008812,0.0008812
14,68.7178,1.59099,0.37397,0.93698,1.58899,0.0008713,0.0008713,0.0008713
15,73.5677,1.57469,0.3657,0.93182,1.57202,0.0008614,0.0008614,0.0008614
16,78.4709,1.55729,0.35847,0.94525,1.60156,0.0008515,0.0008515,0.0008515
17,83.3846,1.53584,0.39566,0.94421,1.5387,0.0008416,0.0008416,0.0008416
18,88.3566,1.5456,0.3936,0.93905,1.53027,0.0008317,0.0008317,0.0008317
19,93.196,1.51583,0.36983,0.95351,1.56519,0.0008218,0.0008218,0.0008218
20,98.0219,1.52211,0.38533,0.94525,1.54736,0.0008119,0.0008119,0.0008119
21,102.923,1.49371,0.38017,0.93905,1.54248,0.000802,0.000802,0.000802
22,107.835,1.51298,0.40909,0.94112,1.5708,0.0007921,0.0007921,0.0007921
23,112.798,1.48434,0.41116,0.93905,1.51526,0.0007822,0.0007822,0.0007822
24,117.794,1.47073,0.39463,0.94008,1.53979,0.0007723,0.0007723,0.0007723
25,122.679,1.4485,0.41632,0.94628,1.52197,0.0007624,0.0007624,0.0007624
26,127.682,1.45355,0.41116,0.93698,1.53308,0.0007525,0.0007525,0.0007525
27,132.533,1.42475,0.39979,0.94112,1.54346,0.0007426,0.0007426,0.0007426
28,137.349,1.43529,0.44112,0.95145,1.47534,0.0007327,0.0007327,0.0007327
29,142.255,1.41065,0.43595,0.94938,1.52527,0.0007228,0.0007228,0.0007228
30,147.088,1.40224,0.42355,0.95661,1.49329,0.0007129,0.0007129,0.0007129
31,151.857,1.37578,0.42975,0.95145,1.49243,0.000703,0.000703,0.000703
32,156.642,1.39099,0.43285,0.95868,1.43481,0.0006931,0.0006931,0.0006931
33,161.423,1.3421,0.43285,0.94835,1.49109,0.0006832,0.0006832,0.0006832
34,166.18,1.33685,0.44318,0.96178,1.43604,0.0006733,0.0006733,0.0006733
35,171.086,1.34248,0.43595,0.95145,1.47766,0.0006634,0.0006634,0.0006634
36,175.963,1.34036,0.44112,0.95248,1.45349,0.0006535,0.0006535,0.0006535
37,180.813,1.30705,0.44215,0.95558,1.49866,0.0006436,0.0006436,0.0006436
38,185.709,1.28987,0.44835,0.95764,1.46899,0.0006337,0.0006337,0.0006337
39,190.612,1.27235,0.47107,0.95248,1.44104,0.0006238,0.0006238,0.0006238
40,195.571,1.27423,0.45041,0.94731,1.43469,0.0006139,0.0006139,0.0006139
41,200.353,1.25462,0.44628,0.95145,1.47876,0.000604,0.000604,0.000604
42,205.225,1.2412,0.47314,0.95558,1.44104,0.0005941,0.0005941,0.0005941
43,210.236,1.19206,0.45455,0.95764,1.45972,0.0005842,0.0005842,0.0005842
44,215.178,1.20317,0.44628,0.95558,1.45081,0.0005743,0.0005743,0.0005743
45,220.032,1.17763,0.46488,0.95145,1.4646,0.0005644,0.0005644,0.0005644
46,224.943,1.17073,0.44318,0.95351,1.5083,0.0005545,0.0005545,0.0005545
47,229.881,1.16395,0.45971,0.95558,1.49731,0.0005446,0.0005446,0.0005446
48,234.76,1.12448,0.45661,0.95661,1.49414,0.0005347,0.0005347,0.0005347
49,239.679,1.09712,0.44731,0.95455,1.50024,0.0005248,0.0005248,0.0005248
50,244.618,1.12682,0.45971,0.95971,1.4613,0.0005149,0.0005149,0.0005149
51,249.549,1.05882,0.44008,0.95764,1.56055,0.000505,0.000505,0.000505
52,254.555,1.07126,0.44628,0.95248,1.54553,0.0004951,0.0004951,0.0004951
