epoch,train_loss,val_loss,val_accuracy,val_f1_macro,val_precision,val_recall
1,1.5216213635035925,1.3694907977030828,0.5515151515151515,0.5289756627561852,0.5699916473477762,0.552721088435374
2,1.3473675958402864,1.2941595453482408,0.5903030303030303,0.5664031935266024,0.5989453192795671,0.5937074829931973
3,1.268847882092654,1.3031092515358558,0.5878787878787879,0.5817724817173954,0.6168419570106574,0.5886054421768707
4,1.1992584001886977,1.319198415829585,0.6048484848484849,0.602505508419188,0.6133773053600333,0.6062925170068028
5,1.1098317294330386,1.2806317072648268,0.6,0.5920091323603286,0.6127174776464984,0.6011904761904763
6,1.054594820017343,1.3104665118914385,0.593939393939394,0.6027699421920724,0.6328612084860347,0.5947278911564625
7,1.0236150052521256,1.3016907068399282,0.6060606060606061,0.5947051794641351,0.6034080456349364,0.6093537414965987
8,0.9318297335079738,1.3220467613293574,0.6096969696969697,0.601039506654312,0.6058868302164341,0.6124149659863944
9,0.9009373037369697,1.4843001251037304,0.5842424242424242,0.5604195966659721,0.5961490245815841,0.5875850340136054
10,0.8540041217437158,1.4278761675724616,0.5963636363636363,0.5937494773898381,0.6101405156074156,0.5984693877551022
11,0.8062542762075152,1.4283253573454344,0.6084848484848485,0.5969189697547509,0.6178091651926927,0.6105442176870748
12,0.7792514732905796,1.3901258225624378,0.6278787878787879,0.6239109672311349,0.6275629487761766,0.6297619047619047
13,0.7725364559299344,1.4394347805243273,0.6072727272727273,0.5993900001886422,0.6096058088330528,0.6096938775510204
14,0.7532407130513873,1.432067673939925,0.6157575757575757,0.6146998664862878,0.6191467131436028,0.6176870748299319
15,0.7524763306418618,1.4240996906390557,0.6181818181818182,0.6136091981219883,0.6171395493919286,0.6207482993197279
16,0.7335218060147631,1.4289382077180421,0.610909090909091,0.6050063714584814,0.6116628105913694,0.6134353741496599
17,0.7280206274200272,1.4464134161288922,0.6193939393939394,0.6195365712396809,0.6226511430010041,0.6215986394557823
18,0.7321773754371391,1.473504894054853,0.6193939393939394,0.6168182922336266,0.6291133868436309,0.6212585034013606
19,0.709783463032691,1.4498785894650679,0.6072727272727273,0.6004353065944148,0.604576476932775,0.6098639455782313
20,0.7192255481258854,1.466641286244759,0.6084848484848485,0.6048354179628583,0.6091607769879269,0.6108843537414966
21,0.7116591118194244,1.44946282185041,0.6012121212121212,0.5952710977721181,0.6008292605860215,0.6037414965986395
22,0.7092666108529646,1.4473679959774017,0.6084848484848485,0.6038884110988791,0.6114443391362003,0.6110544217687075
